"id","titulo","texto","data","fonte","url"
"d1","Paragrafo d1","Santos Futebol Clube , mais conhecido apenas como Santos , é um clube poliesportivo brasileiro da cidade homônima , do estado de São Paulo . Foi fundado em 14 de abril de 1912 . Inicialmente suas cores seriam o branco, azul e dourado, mas um ano após a sua fundação, ficou decidido que as cores do clube passariam a ser branco e preto (alvinegro). O clube manda as suas partidas no Estádio Urbano Caldeira , mais conhecido como Vila Belmiro. Seus maiores rivais no futebol são o Palmeiras , com quem disputa o Clássico da Saudade ; o Corinthians , com quem disputa o Clássico Alvinegro ; e o São Paulo , com quem disputa o San-São .","","Santos FC","https://pt.wikipedia.org/"
"d2","Paragrafo d2","O Santos tornou-se no futebol um dos clubes mais bem-sucedidos do Brasil e reconhecidos mundialmente. Ficou famoso na década de 1960 pelos vários títulos internacionais e nacionais conquistados e por ter formado a carreira profissional de Pelé , considerado por muitos como o maior jogador da história do esporte, e segundo a FIFA , o melhor jogador do século XX . Além disso, o Rei também tem o marco de maior artilheiro da história do Santos e o segundo maior artilheiro da Seleção Brasileira . À frente de Pelé, com mais de 70 gols pela Seleção em jogos oficiais, está Neymar , outro jogador também revelado pelo clube.","","Santos FC","https://pt.wikipedia.org/"
"d3","Paragrafo d3","Ao longo de sua história, o Santos conquistou um grande número de títulos internacionais, com destaque para os mundiais de 1962 e 1963 , as Copas Libertadores de 1962 , 1963 e 2011 , a Recopa dos Campeões Intercontinentais de 1968 , a Copa CONMEBOL de 1998 e a Recopa Sul-Americana de 2012 . No cenário nacional é octacampeão brasileiro : 1961 , 1962 , 1963 , 1964 , 1965 , 1968 , 2002 e 2004 . Ainda no âmbito nacional, o clube possui uma Copa do Brasil vencida em 2010 , totalizando nove conquistas nacionais. Outros títulos importantes incluem cinco Torneios Rio-São Paulo (recordista ao lado de Corinthians e Palmeiras), 22 Campeonatos Paulistas e a Copa Paulista de 2004 . Na somatória de títulos oficiais de abrangência internacional e nacional , o clube possui 17 conquistas. Ao todo, somando competições oficiais, amistosas e outras taças, o clube possui 305 títulos.","","Santos FC","https://pt.wikipedia.org/"
"d4","Paragrafo d4","O Santos foi eleito pela FIFA em 2000 o quinto maior clube de futebol do Século XX , sendo o melhor clube das Américas na lista, e também recebeu no ano de seu centenário na câmara dos deputados em Brasília pela FIFA o título de ""maior clube sul-americano do Século XX"". Além de ser o clube brasileiro que mais enfrentou estrangeiros na história, o Santos é também o único clube brasileiro a ser campeão estadual , nacional, continental e mundial no mesmo ano, em 1962. Outro feito único do clube é ser o que mais marcou gols na história do futebol mundial, tendo sido o primeiro a alcançar a marca de doze mil gols.","","Santos FC","https://pt.wikipedia.org/"
"d5","Paragrafo d5","O Santos Futebol Clube foi fundado no dia 14 de abril de 1912, por iniciativa de três esportistas da cidade , Francisco Raymundo Marques, Mário Ferraz de Campos e Argemiro de Souza Júnior, que convocaram uma assembleia na sede do Clube Concórdia para a criação de um time de futebol. Durante a reunião, surgiu a dúvida quanto ao nome que seria dado a essa agremiação, várias sugestões apareceram como, Brasil Atlético, Euterpe e Concórdia, mas os participantes da reunião decidiram por unanimidade a proposta de Edmundo Jorge de Araújo: a denominação Santos Foot-Ball Club .","","Santos FC","https://pt.wikipedia.org/"
"d6","Paragrafo d6","As cores iniciais do Santos FC eram o branco, o azul e o dourado, mas como era difícil na época a confecção de um uniforme nessas cores, ficou decidido no dia 31 de março de 1913 que o clube passaria a ser alvinegro.","","Santos FC","https://pt.wikipedia.org/"
"d7","Paragrafo d7","A primeira apresentação do time considerada como jogo-treino, ocorreu no dia 23 de junho de 1912, no campo da Vila Macuco, contra um combinado local chamado Thereza Team, o confronto foi vencido pelo Santos pelo placar de 2 a 1, com gols de Anacleto Ferramenta e Geraule Ribeiro. O time entrou em campo com a seguinte formação: Julien Fauvel ( goleiro francês); Simon e Ari; Bandeira, Ambrósio e Oscar; Bulle, Geraule, Esteves, Fontes e Anacleto Ferramenta. O primeiro jogo tido como oficial aconteceu apenas em 15 de setembro de 1912, o Santos FC venceu o Santos Athletic Club (time formado por ingleses) por 3 a 2, no campo da Avenida Ana Costa, local onde hoje se encontra a Igreja Coração de Maria. O primeiro gol do confronto foi marcado por Arnaldo Silveira , o tento é considerado o primeiro da história do clube, os outros dois gols foram anotados pelo próprio Arnaldo e por Adolpho Millon Júnior .","","Santos FC","https://pt.wikipedia.org/"
"d8","Paragrafo d8","No início de 1913, o Santos recebeu um convite da Liga Paulista de Futebol para disputar o campeonato estadual daquele ano , esta foi a primeira competição oficial disputada pelo clube. A estreia aconteceu no dia 1 de junho, diante do Germânia , ainda sem experiência, o time santista foi derrotado por 8 a 1. Devido ao alto custo das viagens na época, o Santos desistiu do campeonato, a única vitória do time foi contra o rival Corinthians (que também estava estreando) pelo placar de 6 a 3. Após desistir de disputar a competição estadual, o Santos conquistaria o seu primeiro título na história, o Campeonato Santista de 1913 invicto.","","Santos FC","https://pt.wikipedia.org/"
"d9","Paragrafo d9","Em 1915, o Santos voltou a disputar o Campeonato Santista, conseguindo o segundo título embora tenha usado o nome de União FC, devido a APEA (liga no qual permaneceu afiliado) não o ter permitido participar com o nome oficial. Em 1916, o Alvinegro retornaria a disputa do Campeonato Paulista , a competição estadual desse ano ficou marcada na história do clube, pois foi nela que aconteceu a inauguração do estádio da Vila Belmiro.","","Santos FC","https://pt.wikipedia.org/"
"d10","Paragrafo d10","O Santos foi vice-campeão nas edições do Campeonato Paulista de 1927 , 1928 e 1929 , sempre tendo como destaque a linha de ataque que tinha Araken Patusca e Feitiço , grandes futebolistas da época. Em 1927, o Santos atingiu a marca de 100 gols no campeonato estadual, com a linha de ataque formada por Siriri , Camarão , Feitiço, Araken e Evangelista.","","Santos FC","https://pt.wikipedia.org/"
"d11","Paragrafo d11","O primeiro título paulista veio em 1935 , após o Santos vencer por 2 a 0 a equipe do Corinthians em pleno Parque São Jorge . A escalação santista para a partida foi: Cyro , Neves e Agostinho ; Ferreira, Marteletti e Jango; Saci , Mário Pereira , Raul Cabral Guedes , Araken Patusca e Junqueirinha . Raul Cabral Guedes e Araken Patusca foram os autores dos gols da partida.","","Santos FC","https://pt.wikipedia.org/"
"d12","Paragrafo d12","Após 20 anos do primeiro título paulista, o Santos voltou a ser campeão estadual apenas em 1955 . O jogo do título foi contra o Taubaté , vitória santista por 2 a 1, sob o comando do vitorioso técnico Luís Alonso Pérez , a competição ainda terminou com o atacante santista Emmanuele Del Vecchio como artilheiro, 23 gols.","","Santos FC","https://pt.wikipedia.org/"
"d13","Paragrafo d13","No ano seguinte, chegaria ao clube trazido pelas mãos de Waldemar de Brito , o menino Pelé de 15 anos, que posteriormente se tornaria o maior ídolo da história do clube. O primeiro título oficial de Pelé no Santos, aconteceu em 1958, quando o clube conquistou o seu quarto Campeonato Paulista, ali começava a história do camisa 10 pelo clube praiano.","","Santos FC","https://pt.wikipedia.org/"
"d14","Paragrafo d14","Ao lado de Pepe , Coutinho e Dorval , Pelé formou um ataque poderoso no Santos, com destaque para as duas conquistas da Copa Intercontinental e da Copa Libertadores da América , vencidas nos anos de 1962 e 1963.","","Santos FC","https://pt.wikipedia.org/"
"d15","Paragrafo d15","Ainda nessa década, no ano de 1969, o Santos ficou famoso por ter sido o time que parou a guerra, fato que ocorreu graças a uma excursão do clube no continente africano , em que o time paralisou os conflitos entre República do Congo e República Democrática do Congo e também a Guerra de Biafra , na Nigéria, para que as pessoas pudessem ver o Santos jogar.","","Santos FC","https://pt.wikipedia.org/"
"d16","Paragrafo d16","Após Pelé sair do Santos em 1974 para jogar no New York Cosmos dos Estados Unidos, o Santos formaria em 1978 um time que era chamado de ""Meninos da Vila"", devido a juventude dos atletas da equipe, os destaques desse time eram Juary , Pita , Aílton Lira e João Paulo que se sagrariam campeões paulista de 1978 .","","Santos FC","https://pt.wikipedia.org/"
"d17","Paragrafo d17","O Santos chegaria a final do Campeonato Brasileiro de 1983 , mas seria superado pelo Flamengo de Zico . Um ano depois, em 1984, o Santos seria campeão paulista tendo o artilheiro Serginho Chulapa como destaque. O Santos voltaria a fazer boas campanhas apenas em 1995, quando chegou na decisão do Campeonato Brasileiro daquele ano , porém em uma final muito polêmica com o Botafogo , o time de Giovanni e cia foi superado, e ficou com o vice-brasileiro. Dois anos depois, em 1997, o Alvinegro conquistaria o seu quinto Torneio Rio-São Paulo . No ano seguinte, em 1998, veio a conquista internacional da Copa Conmebol .","","Santos FC","https://pt.wikipedia.org/"
"d18","Paragrafo d18","Em 2002, ano em que o clube completou 90 anos, o Santos conquistou o Campeonato Brasileiro no sistema de mata-mata, vencendo o Corinthians nos dois jogos da decisão, sendo esse o sétimo título nacional do clube. O time campeão foi basicamente formado por jogadores revelados pelo clube, os destaques eram a dupla Diego e Robinho e o técnico responsável pelo título foi Emerson Leão . No ano seguinte, com a base mantida, o Peixe chegou aos vice-campeonatos da Libertadores e do Campeonato Brasileiro .","","Santos FC","https://pt.wikipedia.org/"
"d19","Paragrafo d19","Em 2004, ainda com os ídolos Robinho, Elano e Léo , e tendo no banco o experiente técnico Vanderlei Luxemburgo , o Santos voltou a ser campeão brasileiro , desta vez no sistema de pontos corridos.","","Santos FC","https://pt.wikipedia.org/"
