"consulta","documento","grau","juiz","timestamp","segundos","metodo"
"q01","d1",2,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q01","d110",0,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q06","d110",0,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q04","d110",0,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q01","d137",0,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q05","d137",0,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q02","d137",0,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q01","d4",2,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q01","d40",1,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q01","d5",2,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q01","d55",2,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q01","d58",2,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q01","d66",1,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q05","d70",2,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q02","d70",1,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q01","d70",2,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q01","d95",2,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q05","d97",1,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q01","d97",2,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q02","d97",1,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q01","d98",2,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q03","d98",0,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q02","d107",1,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q05","d107",1,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q05","d26",1,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q02","d26",1,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q04","d36",0,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q06","d36",0,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q05","d36",1,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q02","d36",1,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q02","d68",2,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q05","d68",2,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q02","d74",2,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q05","d74",2,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q02","d75",2,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q05","d75",2,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q02","d93",2,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q02","d99",2,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q03","d108",1,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q06","d108",0,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q04","d108",0,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q03","d109",1,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q06","d114",0,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q03","d114",1,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q04","d114",0,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q03","d115",1,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q04","d115",0,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q06","d115",0,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q03","d116",1,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q03","d118",1,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q03","d119",2,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q03","d129",2,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q03","d67",0,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q04","d131",2,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q06","d131",1,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q04","d133",2,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q06","d133",1,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q06","d136",1,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q04","d136",2,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q06","d139",1,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q04","d139",2,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q04","d141",2,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q06","d141",1,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q05","d48",2,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q05","d69",2,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
"q05","d8",2,"referencia_inicial_appa","2026-09-17T00:00:00-03:00","","regra_de_referencia"
