"id";"consulta";"modelo";"limiar";"P_at_3";"AP";"MRR";"nDCG_bin";"nDCG_grad";"R_total"
"q01";"historia santos futebol clube";"BM25";"grau >= 1";0,667;0,544;0,5;0,817;0,7;11
"q01";"historia santos futebol clube";"TF-IDF";"grau >= 1";0,667;0,61;1;0,938;0,794;11
"q02";"titulos santos";"BM25";"grau >= 1";1;0,879;1;0,994;0,893;10
"q02";"titulos santos";"TF-IDF";"grau >= 1";1;0,89;1;0,997;0,941;10
"q03";"portuguesa santista estadio";"BM25";"grau >= 1";1;1;1;1;0,845;8
"q03";"portuguesa santista estadio";"TF-IDF";"grau >= 1";1;1;1;1;0,831;8
"q04";"jabaquara clube";"BM25";"grau >= 1";0,667;0,686;0,5;0,774;0,774;5
"q04";"jabaquara clube";"TF-IDF";"grau >= 1";0,667;0,593;0,5;0,735;0,735;5
"q05";"rivalidade santos";"BM25";"grau >= 1";1;0,818;1;1;0,958;11
"q05";"rivalidade santos";"TF-IDF";"grau >= 1";1;0,909;1;1;1;11
"q06";"estadio jabaquara";"BM25";"grau >= 1";0,667;0,573;0,5;0,724;0,724;5
"q06";"estadio jabaquara";"TF-IDF";"grau >= 1";0,667;0,579;0,5;0,73;0,73;5
"q01";"historia santos futebol clube";"BM25";"grau >= 2";0,667;0,567;0,5;0,805;0,7;9
"q01";"historia santos futebol clube";"TF-IDF";"grau >= 2";0,667;0,584;1;0,901;0,794;9
"q02";"titulos santos";"BM25";"grau >= 2";1;0,714;1;0,962;0,893;5
"q02";"titulos santos";"TF-IDF";"grau >= 2";1;0,86;1;0,952;0,941;5
"q03";"portuguesa santista estadio";"BM25";"grau >= 2";0;0,268;0,25;0,468;0,845;2
"q03";"portuguesa santista estadio";"TF-IDF";"grau >= 2";0;0,226;0,167;0,423;0,831;2
"q04";"jabaquara clube";"BM25";"grau >= 2";0,667;0,686;0,5;0,774;0,774;5
"q04";"jabaquara clube";"TF-IDF";"grau >= 2";0,667;0,593;0,5;0,735;0,735;5
"q05";"rivalidade santos";"BM25";"grau >= 2";1;0,948;1;0,985;0,958;7
"q05";"rivalidade santos";"TF-IDF";"grau >= 2";1;1;1;1;1;7
"q06";"estadio jabaquara";"BM25";"grau >= 2";NA;NA;NA;NA;NA;0
"q06";"estadio jabaquara";"TF-IDF";"grau >= 2";NA;NA;NA;NA;NA;0
